family,order_1,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_2,order_20,order_3,order_4,order_5,order_6,order_7,order_8,order_9
2,16,8,227,160,220,35,67,236,168,17,132,33,,234,73,228,41,222,240,97
3,75,101,206,92,63,190,83,216,179,,,194,,32,93,133,204,24,197,192
3,165,56,136,80,178,109,198,,,,,211,,233,231,48,58,38,149,212
3,124,15,183,78,139,52,26,3,55,218,217,199,,110,193,188,69,94,164,161
3,182,23,46,47,1,226,43,99,10,209,,21,,79,64,11,12,154,42,119
3,138,205,135,172,107,40,177,114,174,50,,57,,207,72,150,235,100,25,54
2,44,146,81,130,102,155,112,143,208,98,,5,,232,127,7,140,162,120,84
1,9,,,,,,,,,,,,,,,,,,,
1,137,,,,,,,,,,,,,,,,,,,
1,31,,,,,,,,,,,87,,,,,,,,
3,106,,,,,,,,,,,,,,,,,,,
3,74,6,203,30,122,187,163,189,39,142,141,238,129,176,13,85,116,70,71,186
1,77,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,,,,,,
3,108,153,213,175,37,202,221,230,,,,224,,219,171,113,148,66,45,126
3,201,,,,,,,,,,,,,,,,,,,
1,214,,,,,,,,,,,,,,,,,,,
3,223,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,
3,29,,,,,,,,,,,103,,,,,,,,
2,105,76,173,200,90,166,,,,,,210,,86,95,185,239,88,104,82
3,196,,,,,,,,,,,,,,,,,,,
1,61,,,,,,,,,,,,,,,,,,,
1,22,,,,,,,,,,,53,,131,,,,,,
1,156,,,,,,,,,,,191,,,,,,,,
3,229,,,,,,,,,,,51,,27,121,,,,,
1,2,,,,,,,,,,,14,,18,,,,,,
3,28,65,145,147,134,152,195,158,123,91,144,167,19,170,159,115,62,184,4,68
1,181,,,,,,,,,,,,,,,,,,,
1,180,,,,,,,,,,,151,,,,,,,,
3,117,,,,,,,,,,,157,,,,,,,,
1,125,,,,,,,,,,,118,,,,,,,,
1,60,,,,,,,,,,,,,,,,,,,
3,215,,,,,,,,,,,,,,,,,,,
3,36,,,,,,,,,,,,,,,,,,,
1,169,,,,,,,,,,,,,,,,,,,
3,20,,,,,,,,,,,128,,,,,,,,
3,225,,,,,,,,,,,237,,111,59,89,96,,,
