family,order_1,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_2,order_20,order_21,order_22,order_23,order_24,order_3,order_4,order_5,order_6,order_7,order_8,order_9
3,395,359,256,159,342,95,163,10,13,187,325,115,53,361,371,237,,304,107,189,329,357,94,397
3,174,129,354,16,29,328,396,340,35,335,274,358,394,84,,,,91,88,211,71,76,308,8
3,32,37,6,246,180,111,327,1,240,367,104,233,122,,,,,198,301,295,161,97,60,193
3,406,144,405,14,63,89,80,245,269,318,,182,,,,,,105,309,293,206,185,387,101
3,349,154,372,214,280,305,228,141,231,148,15,310,,,,,,156,225,188,364,54,339,302
3,407,370,333,55,216,390,241,294,399,261,176,194,119,149,170,,,317,232,130,103,345,132,200
2,18,138,252,146,227,181,106,133,4,134,140,355,,,,,,5,3,379,20,25,262,147
3,98,213,151,223,278,275,31,,,,,282,,,,,,114,248,276,352,244,68,286
3,199,403,58,264,398,168,40,202,243,347,,321,,,,,,353,319,150,229,139,169,362
3,96,81,102,277,195,258,164,386,239,137,33,350,73,270,113,109,120,271,93,242,57,30,48,312
3,311,363,389,221,197,65,247,324,179,62,,299,,,,,,348,2,175,155,9,67,257
3,336,23,183,341,291,265,272,220,284,45,208,12,173,,,,,235,74,267,72,222,190,126
3,283,70,99,400,300,253,314,61,307,,,118,,,,,,380,44,66,292,255,207,192
3,41,376,42,338,46,203,160,326,,,,297,,,,,,289,377,320,360,383,263,196
3,281,303,7,401,234,158,52,184,260,346,279,238,388,,,,,344,217,127,172,254,368,100
3,224,343,186,393,82,212,36,171,,,,251,,,,,,298,402,391,124,165,259,384
3,167,17,145,209,110,152,178,218,330,210,,92,,,,,,191,69,59,162,86,136,177
3,153,51,366,351,39,219,215,,,,,78,,,,,,365,378,313,47,21,90,50
3,331,230,373,121,385,,,,,,,323,,,,,,374,135,332,236,392,26,38
3,316,,,,,,,,,,,,,,,,,,,,,,,
3,64,56,285,356,123,296,369,19,,,,204,,,,,,75,250,11,382,125,337,79
3,306,,,,,,,,,,,273,,,,,,157,117,,,,,
3,108,334,322,112,128,142,,,,,,287,,,,,,226,266,27,22,49,315,404
3,87,,,,,,,,,,,249,,,,,,34,77,,,,,
3,381,83,143,43,28,201,,,,,,24,,,,,,268,131,85,166,116,290,205
3,375,,,,,,,,,,,,,,,,,,,,,,,
1,288,,,,,,,,,,,,,,,,,,,,,,,
