family,order_1,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_2,order_20,order_21,order_22,order_23,order_24,order_25,order_3,order_4,order_5,order_6,order_7,order_8,order_9
3,203,385,401,422,313,165,491,33,208,39,360,266,27,,,,,,327,460,182,54,254,312,96
3,443,99,348,209,489,480,123,86,249,171,477,441,237,,,,,,292,92,57,262,376,28,265
3,328,204,202,410,371,160,359,179,307,275,219,389,,,,,,,321,333,243,494,3,403,116
2,246,65,107,112,438,268,375,,,,,175,,,,,,,21,356,445,291,62,279,481
3,4,405,166,184,444,154,282,284,47,467,326,194,428,495,29,9,,,414,210,91,162,364,41,137
3,218,85,187,231,411,387,102,168,339,273,109,12,73,301,347,417,,,289,458,224,455,323,25,185
3,395,38,367,324,393,51,413,230,277,89,138,188,67,488,20,423,,,24,281,69,222,58,482,345
3,278,145,334,468,463,252,483,63,141,164,430,366,396,149,336,60,361,353,195,234,260,199,256,368,127
3,400,104,352,16,26,173,242,87,75,,,465,,,,,,,391,81,380,295,172,133,369
3,213,35,398,180,461,122,117,464,,,,264,,,,,,,288,379,394,198,45,23,276
3,128,178,383,365,478,272,342,397,462,228,418,370,,,,,,,300,350,5,94,44,236,197
3,18,459,55,79,386,71,408,233,357,56,53,40,343,148,452,,,,381,229,446,286,49,196,88
3,238,303,427,186,240,200,11,31,314,322,80,358,378,,,,,,105,174,103,310,192,432,454
2,161,223,118,190,129,270,466,59,330,93,84,335,215,435,,,,,19,211,245,214,83,484,431
3,440,420,439,115,412,416,152,151,469,170,120,374,13,,,,,,251,150,355,338,309,269,457
3,415,189,227,82,298,419,8,146,475,,,225,,,,,,,142,132,271,64,6,283,191
3,332,101,126,349,451,351,250,280,290,285,318,155,450,70,449,216,476,,159,437,329,253,98,244,212
3,299,167,66,429,263,124,448,106,308,436,48,486,,,,,,,341,377,325,193,344,78,1
3,474,30,7,421,406,274,135,125,388,10,134,247,,,,,,,17,97,320,433,384,42,34
3,456,121,90,207,52,337,241,257,,,,297,,,,,,,407,382,158,156,493,206,496
3,110,490,346,177,294,296,304,,,,,61,,,,,,,169,111,95,76,487,399,373
3,232,453,404,130,119,485,113,305,255,,,239,,,,,,,72,37,287,402,221,217,311
3,248,315,442,32,,,,,,,,114,,,,,,,74,183,163,226,479,46,258
3,317,472,136,447,176,181,,,,,,363,,,,,,,14,409,471,15,143,293,68
3,157,,,,,,,,,,,434,,,,,,,36,201,147,,,,
3,2,473,261,390,100,267,235,,,,,108,,,,,,,426,153,492,340,22,205,43
3,425,,,,,,,,,,,,,,,,,,,,,,,,
1,77,,,,,,,,,,,,,,,,,,,,,,,,
2,259,362,424,302,372,50,470,392,,,,131,,,,,,,140,144,331,319,139,220,354
2,306,,,,,,,,,,,316,,,,,,,,,,,,,
